Cluster_Sets,Clustering_Distance,TPs,FPs,FNs
"['cluster_60', 'cluster_64']",distance_0,[],['T1102.002'],[]
"['cluster_60', 'cluster_64', 'cluster_71', 'cluster_130']",distance_0,[],"['T1102.002', 'T1027']",[]
"['cluster_61', 'cluster_72', 'cluster_62', 'cluster_64', 'cluster_99', 'cluster_100']",distance_0,[],"['T1102.002', 'T1059', 'T1071.001', 'T1059.001']",[]
"['cluster_60', 'cluster_72', 'cluster_63', 'cluster_64', 'cluster_99', 'cluster_92', 'cluster_169', 'cluster_74', 'cluster_107', 'cluster_95']",distance_0,[],"['T1102.002', 'T1059', 'T1204.002', 'T1056.001', 'T1547.001']",[]
"['cluster_60', 'cluster_72', 'cluster_63', 'cluster_64', 'cluster_99', 'cluster_74', 'cluster_107']",distance_0,[],"['T1102.002', 'T1059', 'T1056.001', 'T1547.001']",[]
"['cluster_60', 'cluster_72', 'cluster_63', 'cluster_99']",distance_0,[],['T1059'],[]
"['cluster_60', 'cluster_72', 'cluster_62', 'cluster_63', 'cluster_64']",distance_0,[],"['T1102.002', 'T1059', 'T1071.001']",[]
"['cluster_60', 'cluster_61', 'cluster_62', 'cluster_63', 'cluster_81', 'cluster_124', 'cluster_84', 'cluster_125', 'cluster_87', 'cluster_76', 'cluster_169', 'cluster_101', 'cluster_95', 'cluster_122', 'cluster_80']",distance_0,[],"['T1071.001', 'T1106', 'T1132.001', 'T1027.002', 'T1529', 'T1047', 'T1071.004', 'T1561.002']",[]
"['cluster_60', 'cluster_61', 'cluster_89', 'cluster_124', 'cluster_3', 'cluster_125', 'cluster_130', 'cluster_1']",distance_0,[],"['T1027', 'T1132.001', 'T1027.005']",[]
"['cluster_124', 'cluster_3', 'cluster_1', 'cluster_121']",distance_0,[],['T1095'],[]
"['cluster_61', 'cluster_113', 'cluster_72', 'cluster_62', 'cluster_63', 'cluster_64', 'cluster_125']",distance_0,[],"['T1102.002', 'T1059', 'T1071.001', 'T1132.001', 'T1518.001']",['T1119']
"['cluster_61', 'cluster_113', 'cluster_72', 'cluster_63', 'cluster_64', 'cluster_125', 'cluster_118', 'cluster_119']",distance_0,[],"['T1102.002', 'T1059', 'T1132.001', 'T1518.001']",['T1119']
"['cluster_113', 'cluster_63', 'cluster_64', 'cluster_125', 'cluster_119']",distance_0,[],"['T1102.002', 'T1132.001', 'T1518.001']",['T1119']
"['cluster_63', 'cluster_64', 'cluster_125', 'cluster_119']",distance_0,[],"['T1102.002', 'T1132.001']",[]
"['cluster_60', 'cluster_73', 'cluster_66', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_89', 'cluster_67', 'cluster_91', 'cluster_71', 'cluster_87', 'cluster_98', 'cluster_169', 'cluster_122']",distance_0,[],"['T1102.002', 'T1106', 'T1027.002', 'T1071.004', 'T1027.005', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
"['cluster_60', 'cluster_64', 'cluster_91', 'cluster_71', 'cluster_169', 'cluster_122']",distance_0,[],"['T1102.002', 'T1071.004', 'T1036']",[]
['cluster_64'],distance_0,[],['T1102.002'],[]
"['cluster_60', 'cluster_73', 'cluster_66', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_67', 'cluster_91', 'cluster_71', 'cluster_87', 'cluster_98', 'cluster_70', 'cluster_74']",distance_0,[],"['T1102.002', 'T1056.001', 'T1106', 'T1027.002', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
"['cluster_60', 'cluster_73', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_65', 'cluster_89', 'cluster_67', 'cluster_86', 'cluster_71', 'cluster_125', 'cluster_92', 'cluster_68', 'cluster_93', 'cluster_38']",distance_0,[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1027.005', 'T1203', 'T1059.007', 'T1204.001', 'T1189']",[]
"['cluster_60', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_81', 'cluster_64', 'cluster_65', 'cluster_89', 'cluster_67', 'cluster_86', 'cluster_71', 'cluster_125', 'cluster_92', 'cluster_68', 'cluster_93', 'cluster_74', 'cluster_75', 'cluster_38']",distance_0,[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1056.001', 'T1106', 'T1132.001', 'T1027.005', 'T1059.007', 'T1204.001', 'T1189', 'T1555.003']",[]
"['cluster_3', 'cluster_71', 'cluster_92', 'cluster_68', 'cluster_93']",distance_0,[],['T1204.002'],['T1036.005']
"['cluster_60', 'cluster_73', 'cluster_62', 'cluster_66', 'cluster_63', 'cluster_64', 'cluster_67', 'cluster_3', 'cluster_91', 'cluster_71', 'cluster_125', 'cluster_92', 'cluster_68', 'cluster_88', 'cluster_93']",distance_0,[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1132.001', 'T1036', 'T1203', 'T1059.007', 'T1204.001', 'T1059.005']",['T1036.005']
"['cluster_34', 'cluster_50', 'cluster_41', 'cluster_35', 'cluster_54']",distance_0.1,[],"['T1102.002', 'T1059', 'T1071.001', 'T1132.001', 'T1518.001']",['T1119']
"['cluster_34', 'cluster_50', 'cluster_41', 'cluster_35', 'cluster_54', 'cluster_52', 'cluster_53']",distance_0.1,[],"['T1102.002', 'T1059', 'T1132.001', 'T1518.001']",['T1119']
"['cluster_50', 'cluster_35', 'cluster_54', 'cluster_53']",distance_0.1,[],"['T1102.002', 'T1132.001', 'T1518.001']",['T1119']
"['cluster_35', 'cluster_54', 'cluster_53']",distance_0.1,[],"['T1102.002', 'T1132.001', 'T1071.004', 'T1095', 'T1071.001']",[]
"['cluster_33', 'cluster_42', 'cluster_36', 'cluster_35', 'cluster_46', 'cluster_47', 'cluster_37', 'cluster_40', 'cluster_48', 'cluster_75', 'cluster_53']",distance_0.1,[],"['T1102.002', 'T1106', 'T1027.002', 'T1071.004', 'T1027.005', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
"['cluster_33', 'cluster_35', 'cluster_47', 'cluster_40', 'cluster_75', 'cluster_53']",distance_0.1,[],"['T1102.002', 'T1071.004', 'T1036']",[]
['cluster_35'],distance_0.1,[],"['T1102.002', 'T1071.001']",['T1119']
"['cluster_33', 'cluster_42', 'cluster_36', 'cluster_35', 'cluster_46', 'cluster_37', 'cluster_47', 'cluster_40', 'cluster_48', 'cluster_39', 'cluster_43']",distance_0.1,[],"['T1102.002', 'T1056.001', 'T1106', 'T1027.002', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001']",[]
"['cluster_22', 'cluster_24', 'cluster_23', 'cluster_27']",distance_0.2,[],"['T1102.002', 'T1059', 'T1071.001', 'T1059.001', 'T1132.001', 'T1518.001', 'T1071.004', 'T1027.005', 'T1036', 'T1095', 'T1105', 'T1547.001', 'T1203', 'T1140', 'T1059.007', 'T1204.002', 'T1106', 'T1027.002', 'T1047', 'T1027.001', 'T1070.004', 'T1564.003', 'T1204.001', 'T1218.011', 'T1059.005', 'T1053.003', 'T1569.002', 'T1189', 'T1566.001', 'T1053.005', 'T1070.006', 'T1113', 'T1115', 'T1566.002', 'T1560.001', 'T1486']",['T1119']
"['cluster_21', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_41', 'cluster_25']",distance_0.2,[],"['T1102.002', 'T1059', 'T1204.002', 'T1056.001', 'T1547.001', 'T1588.002', 'T1071.001', 'T1059.007', 'T1189', 'T1566.001', 'T1036', 'T1105', 'T1518.001', 'T1140', 'T1059.005', 'T1203', 'T1555.003', 'T1027.005', 'T1132.001', 'T1027.001', 'T1548', 'T1566']",[]
"['cluster_21', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_25']",distance_0.2,[],"['T1102.002', 'T1059', 'T1056.001', 'T1547.001', 'T1106', 'T1027.002', 'T1036', 'T1203', 'T1564.003', 'T1059.007', 'T1204.001', 'T1071.001', 'T1113', 'T1115', 'T1140', 'T1189', 'T1555.003', 'T1588.002', 'T1204.002', 'T1566.001', 'T1105', 'T1059.005', 'T1518.001', 'T1047', 'T1027.005', 'T1132.001', 'T1095', 'T1560.001', 'T1027.001', 'T1070.004', 'T1070.006', 'T1218.011', 'T1569.002', 'T1070.001']","['T1552.001', 'T1543.003']"
"['cluster_21', 'cluster_24', 'cluster_23', 'cluster_27']",distance_0.2,[],"['T1059', 'T1071.001', 'T1204.002', 'T1132.001', 'T1027.005', 'T1105', 'T1140', 'T1059.007', 'T1218.011', 'T1036', 'T1203', 'T1204.001', 'T1189', 'T1059.005', 'T1059.001', 'T1106', 'T1027.001', 'T1027.002', 'T1070.006', 'T1102.002', 'T1518.001', 'T1070.004', 'T1095', 'T1071.004', 'T1115', 'T1588.002', 'T1566.001', 'T1485', 'T1047', 'T1569.002', 'T1560.001', 'T1564.003', 'T1070.001', 'T1566.002', 'T1566', 'T1055']",['T1036.004']
"['cluster_21', 'cluster_24', 'cluster_23']",distance_0.2,[],"['T1102.002', 'T1059', 'T1071.001', 'T1189', 'T1566']",[]
"['cluster_21', 'cluster_22', 'cluster_23', 'cluster_27', 'cluster_26', 'cluster_41']",distance_0.2,[],"['T1071.001', 'T1106', 'T1132.001', 'T1027.002', 'T1529', 'T1047', 'T1071.004', 'T1561.002', 'T1027.005', 'T1036', 'T1113', 'T1095', 'T1518.001', 'T1115', 'T1588.002', 'T1564.003']",[]
"['cluster_21', 'cluster_22', 'cluster_27']",distance_0.2,[],"['T1095', 'T1105', 'T1027.005', 'T1070.004', 'T1047', 'T1071.004', 'T1113', 'T1518.001', 'T1059.001', 'T1547.001', 'T1027.002', 'T1140', 'T1564.003', 'T1588.002', 'T1106', 'T1115', 'T1036', 'T1569.002', 'T1560.001', 'T1132.001', 'T1485', 'T1070.001', 'T1486', 'T1518']","['T1547.009', 'T1056', 'T1589', 'T1083']"
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_35', 'cluster_47', 'cluster_49']",distance_0.2,[],"['T1071.001', 'T1132.001', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1027.001', 'T1115', 'T1552.001']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23', 'cluster_41', 'cluster_49']",distance_0.2,[],"['T1102.002', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1071.004', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1203', 'T1140', 'T1027.005', 'T1059', 'T1059.007', 'T1564.003', 'T1204.001', 'T1070.006', 'T1569.002', 'T1070.001', 'T1566.001']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23', 'cluster_41', 'cluster_47', 'cluster_49']",distance_0.2,[],"['T1102.002', 'T1059', 'T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1027.002', 'T1027.005', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1552.001', 'T1203', 'T1140', 'T1070.004']",[]
"['cluster_21', 'cluster_22', 'cluster_23', 'cluster_27']",distance_0.2,[],"['T1105', 'T1071.001', 'T1106', 'T1132.001', 'T1027.002', 'T1027.005', 'T1095', 'T1518.001', 'T1115', 'T1140', 'T1071.004', 'T1204.002', 'T1027.001', 'T1102.002', 'T1113', 'T1070.004', 'T1564.003', 'T1059.001', 'T1204.001', 'T1059.005', 'T1059.007', 'T1036', 'T1189', 'T1588.002', 'T1047', 'T1486', 'T1059.003', 'T1070.006', 'T1566.002', 'T1518', 'T1485']",[]
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_35']",distance_0.2,[],"['T1071.001', 'T1132.001', 'T1027.002', 'T1071.004', 'T1027.005', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1588.002', 'T1106', 'T1059.007', 'T1070.004']",['T1505.003']
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_23', 'cluster_7']",distance_0.2,[],"['T1071.001', 'T1071.004', 'T1027.005', 'T1095', 'T1518.001', 'T1105', 'T1036', 'T1102.002', 'T1132.001', 'T1047', 'T1113', 'T1115', 'T1140', 'T1588.002', 'T1106', 'T1070.004']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23', 'cluster_35']",distance_0.2,[],"['T1102.002', 'T1071.001', 'T1106', 'T1132.001', 'T1071.004', 'T1113', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1203']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_23']",distance_0.2,[],"['T1071.001', 'T1204.002', 'T1106', 'T1132.001', 'T1095', 'T1518.001', 'T1105', 'T1115', 'T1203', 'T1071.004', 'T1059', 'T1059.001', 'T1027.005', 'T1036', 'T1027.001', 'T1140', 'T1059.007', 'T1204.001', 'T1189', 'T1059.005', 'T1547.001', 'T1027.002', 'T1070.004', 'T1564.003', 'T1218.011', 'T1070.006', 'T1102.002', 'T1047', 'T1053.003', 'T1569.002', 'T1053.005', 'T1113', 'T1588.002', 'T1485', 'T1566.001', 'T1070.001', 'T1561.002', 'T1566.002', 'T1560.001', 'T1059.003', 'T1486', 'T1518', 'T1566', 'T1055']","['T1036.005', 'T1543.003', 'T1083', 'T1505.003', 'T1547.009', 'T1589', 'T1036.004', 'T1078', 'T1005']"
"['cluster_21', 'cluster_27']",distance_0.2,[],"['T1095', 'T1105', 'T1027.002', 'T1106', 'T1027.005', 'T1132.001', 'T1140', 'T1071.004', 'T1036', 'T1070.004', 'T1518.001', 'T1588.002', 'T1485', 'T1561.002', 'T1027.001', 'T1070.006', 'T1569.002', 'T1053.005', 'T1560.001', 'T1486', 'T1059.001']","['T1546.008', 'T1036.005', 'T1056']"
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_26']",distance_0.2,[],"['T1132.001', 'T1027.005', 'T1564.003', 'T1518.001', 'T1095']",[]
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_23', 'cluster_27', 'cluster_26']",distance_0.2,[],"['T1102.002', 'T1132.001', 'T1095', 'T1203', 'T1059', 'T1071.001', 'T1106', 'T1027.002', 'T1529', 'T1071.004', 'T1027.005', 'T1036', 'T1518.001', 'T1140', 'T1070.004', 'T1059.005', 'T1053.003', 'T1569.002', 'T1105', 'T1059.007', 'T1113', 'T1588.002', 'T1204.002', 'T1047', 'T1070.001', 'T1189', 'T1027.001', 'T1070.006', 'T1115', 'T1204.001', 'T1059.001', 'T1485', 'T1561.002', 'T1564.003', 'T1218.011', 'T1486', 'T1560.001', 'T1518', 'T1566', 'T1055']","['T1543.003', 'T1499']"
"['cluster_21', 'cluster_22', 'cluster_27', 'cluster_26', 'cluster_25']",distance_0.2,[],"['T1056.001', 'T1529', 'T1047', 'T1095', 'T1564.003']",[]
"['cluster_22', 'cluster_24', 'cluster_27']",distance_0.2,[],"['T1059', 'T1071.004', 'T1095', 'T1105', 'T1113', 'T1115', 'T1070.004', 'T1564.003', 'T1132.001', 'T1106', 'T1518.001', 'T1140', 'T1218.011', 'T1027.001', 'T1059.001', 'T1059.003', 'T1053.003', 'T1027.005', 'T1518']",['T1499']
"['cluster_23', 'cluster_27']",distance_0.2,[],"['T1071.004', 'T1102.002', 'T1132.001', 'T1518.001', 'T1071.001', 'T1204.002', 'T1036', 'T1059.007', 'T1095', 'T1027.005', 'T1106', 'T1189', 'T1105', 'T1140', 'T1070.004', 'T1564.003', 'T1070.001', 'T1115', 'T1027.002', 'T1027.001', 'T1560.001', 'T1059.003', 'T1204.001', 'T1569.002', 'T1059.001', 'T1486']","['T1119', 'T1036.005', 'T1543.003', 'T1552.001']"
"['cluster_21', 'cluster_22', 'cluster_24', 'cluster_27', 'cluster_11']",distance_0.2,[],"['T1059', 'T1113']",[]
